Gene,Collapsing model,P value,No. participants,No. cases with QV,% cases with QV,No. controls with QV,% controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
DRD2,flexnonsynmtr,0.0346,146157,1,0.02,102,0.000698118502193598,29.2127,3.9957,213.5769
LRP8,flexnonsynmtr,0.0344,146157,2,0.04,848,0.00580396558686442,7.1373,1.7319,29.4136
ADGRL1,flexnonsynmtr,0.0344,146157,2,0.04,847,0.00579712128782331,7.1458,1.734,29.4486
MAGEB10,flexnonsynmtr,0.0343,146157,1,0.02,101,0.000691274203152484,29.5021,4.0349,215.7133
ITGB3BP,flexnonsynmtr,0.0343,146157,1,0.02,101,0.000691274203152484,29.5021,4.0349,215.7133
CLPSL1,flexnonsynmtr,0.0343,146157,1,0.02,101,0.000691274203152484,29.5021,4.0349,215.7133
MOB4,flexnonsynmtr,0.0343,146157,1,0.02,101,0.000691274203152484,29.5021,4.0349,215.7133
NPR1,flexnonsynmtr,0.0343,146157,2,0.04,846,0.00579027698878219,7.1543,1.736,29.4837
PRM3,flexnonsynmtr,0.0343,146157,1,0.02,101,0.000691274203152484,29.5021,4.0349,215.7133
ZFP64,flexnonsynmtr,0.0341,146157,2,0.04,843,0.00576974409165885,7.1799,1.7422,29.5894
HINT3,flexnonsynmtr,0.034,146157,1,0.02,100,0.00068442990411137,29.7973,4.0749,217.8927
MYOF,flexnonsynmtr,0.0338,146157,3,0.06,2064,0.0141266332208587,4.4546,1.3854,14.3235
PLPP1,flexnonsynmtr,0.0337,146157,2,0.04,838,0.00573552259645328,7.223,1.7527,29.7672
LRRC14B,flexnonsynmtr,0.0332,146157,2,0.04,831,0.00568761250316549,7.2842,1.7675,30.0198
SIX6,flexnonsynmtr,0.033,146157,1,0.02,97,0.000663897006988029,30.7195,4.1997,224.7034
POU3F4,flexnonsynmtr,0.0327,146157,1,0.02,96,0.000657052707946916,31.0398,4.2431,227.0691
PSPC1,flexnonsynmtr,0.0327,146157,1,0.02,96,0.000657052707946916,31.0398,4.2431,227.0691
NPAT,flexnonsynmtr,0.0327,146157,2,0.04,824,0.00563970240987769,7.3464,1.7826,30.2767
FAM19A1,flexnonsynmtr,0.0327,146157,1,0.02,96,0.000657052707946916,31.0398,4.2431,227.0691
ZSCAN5B,flexnonsynmtr,0.0324,146157,2,0.04,820,0.00561232521371324,7.3825,1.7913,30.4255
ZNF135,flexnonsynmtr,0.0318,146157,2,0.04,812,0.00555757082138433,7.4556,1.809,30.7274
C10ORF71,flexnonsynmtr,0.0318,146157,3,0.06,2014,0.013784418268803,4.5667,1.4202,14.6845
N4BP2L2,flexnonsynmtr,0.0314,146157,2,0.04,806,0.00551650502713765,7.5114,1.8225,30.9578
PNN,flexnonsynmtr,0.0314,146157,2,0.04,806,0.00551650502713765,7.5114,1.8225,30.9578
CCDC186,flexnonsynmtr,0.0313,146157,2,0.04,805,0.00550966072809653,7.5208,1.8248,30.9966
KIRREL3,flexnonsynmtr,0.0312,146157,2,0.04,803,0.0054959721300143,7.5396,1.8294,31.0743
CNTN2,flexnonsynmtr,0.0312,146157,2,0.04,803,0.0054959721300143,7.5396,1.8294,31.0743
C8ORF44,flexnonsynmtr,0.0307,146157,1,0.02,90,0.000615986913700233,33.1104,4.5231,242.3794
