Gene,Collapsing model,P value,No. with QV,No. without QV,QV carrier median,QV non-carrier median,Effect size,Effect size standard error,Effect size LCI,Effect size UCI
TMEM135,rec,0.0197181085922877,7,254519,-1.412018,0.00002462055,-0.866216471944637,0.37149826134134,-1.59434314707068,-0.13808979681859
AXIN2,rec,0.0198372901840804,188,254338,0.1561136,-0.0000984822,0.167043114146003,0.0717099913052588,0.026493445477593,0.307592782814414
HIBCH,rec,0.019871546452984,1,254525,-2.100577,0.00000492411,-2.28890690758719,0.9828784719085,-4.21532247470109,-0.36249134047329
MYL10,rec,0.0198601830087874,3,254523,-1.329799,0.00001477233,-1.32162642073516,0.567466745048589,-2.43384609257149,-0.209406748898841
OR2G3,rec,0.0198363367413973,25,254501,-0.59081744097119,0.00006401344,-0.457933050933114,0.196584703911988,-0.84323382279475,-0.0726322790714776
CLEC4F,rec,0.0200352194072442,32,254494,-0.52376435,0.0000393928820484396,-0.404118944155224,0.17376211243571,-0.744688045969786,-0.0635498423406621
PSMB4,rec,0.0199887661969216,1,254525,-2.106336,0.00000492411,-2.28675638127573,0.982886011999161,-4.21318672676604,-0.36032603578541
RNF152,rec,0.0200190332437784,16,254510,-0.9290712,0.00005908933,-0.571567347851444,0.245729136632929,-1.0531898959412,-0.0899447997616928
CDK2,rec,0.020101971387552,1,254525,2.118438,-0.00000492411,2.28465354465286,0.982877617425044,0.358239652303722,4.211067437002
NAA25,rec,0.0201374748736224,13,254513,0.5908878,-0.00002462055,0.633482814955462,0.272607467897338,0.0991794551014017,1.16778617480952
SCG3,rec,0.0200954600917133,4,254522,-1.24593275,0.00000984822,-1.14239928765303,0.491444289646611,-2.1056169763121,-0.179181598993956
DCAF5,rec,0.0202746569261246,25,254501,0.2841724,-0.00006401344,0.456322108299379,0.196585455956332,0.0710198624509034,0.841624354147854
DKK3,rec,0.0202534834113794,1,254525,-2.346843,0.00000492411,-2.28189295383062,0.982882660947943,-4.20831673135001,-0.355469176311236
AKR7A2,rec,0.0203829112140182,13,254513,-0.5845438,0.00001477233,-0.632244660245985,0.272608763340759,-1.16655055913457,-0.097938761357403
B3GAT2,rec,0.0204722926499847,3,254523,-1.326991,0.00001477233,-1.31515700189889,0.567467001852299,-2.42737717706362,-0.202936826734148
FTHL17,rec,0.0205183163710145,593,253933,0.08939798,-0.0002018885,-0.0937386700386967,0.0404613350843304,-0.173041806693339,-0.0144355333840542
