Gene,Collapsing model,P value,No. participants,No. cases with QV,% cases with QV,No. controls with QV,% controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
ZHX2,flexnonsyn,0.0567,146157,4,0.0300751879699248,1573,0.0107722018298362,2.8475,1.0514,7.7118
CNIH1,flexnonsyn,0.0566,146157,1,0.0075187969924812,63,0.000431435928340547,17.5518,2.4165,127.4866
RPL23,flexnonsyn,0.0566,146157,1,0.0075187969924812,63,0.000431435928340547,17.5518,2.4165,127.4866
ZNF577,flexnonsyn,0.0565,146157,3,0.0225563909774436,947,0.00648523530378568,3.5353,1.1235,11.1247
A1BG,flexnonsyn,0.0565,146157,3,0.0225563909774436,947,0.00648523530378568,3.5353,1.1235,11.1247
TRIM5,flexnonsyn,0.0565,146157,3,0.0225563909774436,947,0.00648523530378568,3.5353,1.1235,11.1247
CLPX,flexnonsyn,0.0565,146157,3,0.0225563909774436,947,0.00648523530378568,3.5353,1.1235,11.1247
VPS13A,flexnonsyn,0.0564,146157,0,0,4062,0.0278173450939572,0,,
TRIML1,flexnonsyn,0.0562,146157,3,0.0225563909774436,945,0.0064715389251082,3.5428,1.1259,11.1485
MAMDC4,flexnonsyn,0.056,146157,0,0,4042,0.0276803813071824,0,,
PRKCSH,flexnonsyn,0.0558,146157,4,0.0300751879699248,1565,0.0107174163151263,2.8622,1.0568,7.7517
RAB39B,flexnonsyn,0.0558,146157,1,0.0075187969924812,62,0.000424587739001808,17.835,2.4548,129.5759
NGRN,flexnonsyn,0.0556,146157,2,0.0150375939849624,414,0.00283515038623788,5.3697,1.3244,21.7708
KLHL17,flexnonsyn,0.0554,146157,5,0.037593984962406,2244,0.01536733687613,2.5029,1.0232,6.1221
COL4A3,flexnonsyn,0.0553,146157,6,0.0451127819548872,2968,0.0203254259573769,2.2771,1.0033,5.1685
ANO7,flexnonsyn,0.0553,146157,6,0.0451127819548872,2968,0.0203254259573769,2.2771,1.0033,5.1685
PTPRB,flexnonsyn,0.0553,146157,0,0,3998,0.0273790609762779,0,,
ZNF530,flexnonsyn,0.0552,146157,3,0.0225563909774436,938,0.00642360159973703,3.5694,1.1343,11.2324
USP34,flexnonsyn,0.0552,146157,0,0,3990,0.027324275461568,0,,
SP140L,flexnonsyn,0.0551,146157,3,0.0225563909774436,937,0.00641675341039829,3.5733,1.1355,11.2444
